DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
01-Apr-2025,EQ,"532.90","543.50","528.05","534.60","531.00","529.90","533.90","755.40","478.35",2210272,"1,18,00,59,806.00",41486
28-Mar-2025,EQ,"559.00","562.10","530.75","554.40","532.00","534.60","546.29","755.40","478.35",3118677,"1,70,37,06,338.80",67431
27-Mar-2025,EQ,"569.55","573.75","544.20","573.75","556.00","554.40","554.67","755.40","478.35",10765998,"5,97,15,22,634.15",116800
26-Mar-2025,EQ,"565.00","580.35","563.55","557.90","574.50","573.75","574.36","755.40","478.35",8030660,"4,61,24,99,805.15",155093
25-Mar-2025,EQ,"551.90","561.35","550.00","550.05","557.00","557.90","556.09","755.40","478.35",4004101,"2,22,66,57,795.25",72463
24-Mar-2025,EQ,"543.45","555.55","542.15","542.80","549.80","550.05","550.45","755.40","478.35",2777258,"1,52,87,34,590.65",53378
21-Mar-2025,EQ,"527.90","545.60","525.65","525.25","542.50","542.80","538.48","755.40","478.35",3193144,"1,71,94,50,981.90",60080
20-Mar-2025,EQ,"525.05","534.35","510.10","525.80","524.90","525.25","523.15","755.40","478.35",2151278,"1,12,54,36,351.50",48029
19-Mar-2025,EQ,"506.00","530.50","505.50","504.00","525.45","525.80","521.44","755.40","478.35",2859237,"1,49,09,29,724.45",49229
18-Mar-2025,EQ,"495.80","507.40","478.35","491.80","506.70","504.00","494.14","755.40","478.35",4908953,"2,42,57,33,028.50",61288
17-Mar-2025,EQ,"503.70","505.40","489.45","502.85","492.05","491.80","495.12","755.40","489.45",3628157,"1,79,63,86,204.50",66734
